place,movie_title,rating,year,star_cast
N/A,Harry Potter and the Deathly Hallows - Part 2,8.1,N/A,N/A
N/A,Gran Torino,8.1,N/A,N/A
N/A,Spider-Man: No Way Home,8.2,N/A,N/A
N/A,Million Dollar Baby,8.1,N/A,N/A
N/A,Tonari no Totoro,8.1,N/A,N/A
N/A,Mad Max: Fury Road,8.1,N/A,N/A
N/A,Ben-Hur,8.1,N/A,N/A
N/A,Bacheha-ye aseman,8.2,N/A,N/A
N/A,Barry Lyndon,8.1,N/A,N/A
N/A,12 Years a Slave,8.1,N/A,N/A
N/A,Before Sunrise,8.1,N/A,N/A
N/A,Blade Runner,8.1,N/A,N/A
N/A,The Grand Budapest Hotel,8.1,N/A,N/A
N/A,Dead Poets Society,8.1,N/A,N/A
N/A,Hacksaw Ridge,8.1,N/A,N/A
N/A,Gone Girl,8.1,N/A,N/A
N/A,Salinui chueok,8.1,N/A,N/A
N/A,In the Name of the Father,8.1,N/A,N/A
N/A,"Monsters, Inc.",8.1,N/A,N/A
N/A,The Gold Rush,8.1,N/A,N/A
N/A,Ratatouille,8.1,N/A,N/A
N/A,Relatos salvajes,8.1,N/A,N/A
N/A,How to Train Your Dragon,8.1,N/A,N/A
N/A,Jaws,8.1,N/A,N/A
N/A,Sherlock Jr.,8.2,N/A,N/A
N/A,The Deer Hunter,8.1,N/A,N/A
N/A,The General,8.1,N/A,N/A
N/A,Mary and Max.,8.1,N/A,N/A
N/A,Le salaire de la peur,8.1,N/A,N/A
N/A,Ford v Ferrari,8.1,N/A,N/A
N/A,On the Waterfront,8.1,N/A,N/A
N/A,Maharaja,8.4,N/A,N/A
N/A,Mr. Smith Goes to Washington,8.1,N/A,N/A
N/A,Kimetsu no Yaiba: Tsuzumi Yashiki-hen,8.6,N/A,N/A
N/A,Smultronstället,8.1,N/A,N/A
N/A,The Third Man,8.1,N/A,N/A
N/A,Logan,8.1,N/A,N/A
N/A,Rocky,8.1,N/A,N/A
N/A,Tôkyô monogatari,8.1,N/A,N/A
N/A,The Big Lebowski,8.1,N/A,N/A
N/A,Spotlight,8.1,N/A,N/A
N/A,Det sjunde inseglet,8.1,N/A,N/A
N/A,Room,8.1,N/A,N/A
N/A,The Terminator,8.1,N/A,N/A
N/A,Hotel Rwanda,8.1,N/A,N/A
N/A,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,N/A,N/A
N/A,Platoon,8.1,N/A,N/A
N/A,La haine,8.1,N/A,N/A
N/A,Jai Bhim,8.7,N/A,N/A
N/A,Before Sunset,8.1,N/A,N/A
N/A,The Best Years of Our Lives,8.1,N/A,N/A
N/A,La passion de Jeanne d&apos;Arc,8.1,N/A,N/A
N/A,The Exorcist,8.1,N/A,N/A
N/A,The Wizard of Oz,8.1,N/A,N/A
N/A,The Incredibles,8.0,N/A,N/A
N/A,Rush,8.1,N/A,N/A
N/A,The Sound of Music,8.1,N/A,N/A
N/A,Stand by Me,8.1,N/A,N/A
N/A,Hachi: A Dog&apos;s Tale,8.1,N/A,N/A
N/A,Network,8.1,N/A,N/A
N/A,Babam ve Oglum,8.2,N/A,N/A
N/A,Ah-ga-ssi,8.1,N/A,N/A
N/A,To Be or Not to Be,8.1,N/A,N/A
N/A,The Iron Giant,8.1,N/A,N/A
N/A,La battaglia di Algeri,8.1,N/A,N/A
N/A,Into the Wild,8.1,N/A,N/A
N/A,The Grapes of Wrath,8.1,N/A,N/A
N/A,Groundhog Day,8.0,N/A,N/A
N/A,Un condamné à mort s&apos;est échappé ou Le vent souffle où il veut,8.2,N/A,N/A
N/A,Amores perros,8.0,N/A,N/A
N/A,The Help,8.1,N/A,N/A
N/A,Rebecca,8.1,N/A,N/A
N/A,Koe no katachi,8.1,N/A,N/A
N/A,Andhadhun,8.2,N/A,N/A
